order_code,client_id,client_name,ThoiGianTao,ThoiGianLayThanhCong,ThoiGianXuatKienDauTien,ThoiGianGiaoThanhCong,TrangThaiHienTai,KhoLay_ID,KhoLay,KhoGiao_ID,KhoGiao,VungGiao,TinhGiao,weight,converted_weight,KL_TinhCuoc,length,width,height,SoKhoi_M3,ThoiGianNhanKienDauTien,weight_kg,converted_weight_kg,KL_TinhCuoc_kg
GYXHE9BC,4016133,Nuti,2026-07-08 20:56:13.857000+00:00,,,,ready_to_pick,1297,Key Account Warehouse Ha Noi,21095000,Kho Giao Hàng Nặng - Vinh - Nghệ An,Khu vực 3,Nghệ An,,,,54,41,184,0.4,,4.1,71.2,71.2
GYXHE9BU,4016133,Nuti,2026-07-08 20:56:13.317000+00:00,,,,ready_to_pick,1297,Key Account Warehouse Ha Noi,21095000,Kho Giao Hàng Nặng - Vinh - Nghệ An,Khu vực 3,Nghệ An,,,,54,41,184,0.4,,4.1,71.2,71.2
GYXHE9BF,4016133,Nuti,2026-07-08 20:56:12.658000+00:00,,,,ready_to_pick,1297,Key Account Warehouse Ha Noi,21095000,Kho Giao Hàng Nặng - Vinh - Nghệ An,Khu vực 3,Nghệ An,,,,54,41,184,0.4,,4.1,71.2,71.2
GYXHME8E,4639882,ANTA,2026-07-08 20:22:10.543000+00:00,,,,ready_to_pick,22328000,Kho B2B - Đài Tư - Hà Nội,22995000,Kho Giao Hàng Nặng - Độc Lập - HCM,Hồ Chí Minh,Hồ Chí Minh,,,,10,10,100,0.0,,90.0,2.0,90.0
GYXHMEHG,4016133,Nuti,2026-07-08 20:21:12.702000+00:00,,,,ready_to_pick,1297,Key Account Warehouse Ha Noi,22296000,Kho Giao Hàng Nặng - Tiên Du - Bắc Ninh,Khu vực 3,Bắc Ninh,,,,42,28,18,0.0,,0.1,8.5,8.5
GYXHM4RP,4016133,Nuti,2026-07-08 19:41:12.518000+00:00,,,,ready_to_pick,1297,Key Account Warehouse Ha Noi,21086000,Kho Giao Hàng Nặng - Đông Thọ - Thanh Hoá,Khu vực 3,Thanh Hóa,,,,41,22,114,0.1,,2.0,30.9,30.9
GYXHM3TB,4016133,Nuti,2026-07-08 19:36:12.607000+00:00,,,,ready_to_pick,1297,Key Account Warehouse Ha Noi,21086000,Kho Giao Hàng Nặng - Đông Thọ - Thanh Hoá,Khu vực 3,Thanh Hóa,,,,54,41,174,0.4,,7.4,120.2,120.2
GYXHM3LR,4639882,ANTA,2026-07-08 19:33:02.598000+00:00,,,,ready_to_pick,22328000,Kho B2B - Đài Tư - Hà Nội,22957000,Kho Giao Hàng Nặng - Tân Thuận - Hồ Chí Minh,Hồ Chí Minh,Hồ Chí Minh,,,,10,10,180,0.0,,180.0,3.6,180.0
GYXHYGBE,4639882,ANTA,2026-07-08 17:10:16.598000+00:00,,,,ready_to_pick,22328000,Kho B2B - Đài Tư - Hà Nội,22423000,Kho Giao Hàng Nặng - Ân Thi - Hưng Yên,Khu vực 3,Hưng Yên,,,,10,10,10,0.0,,2.0,0.2,2.0
GYXHHYQA,4865319,Aqua B2C,2026-07-08 15:58:04.663000+00:00,,,,ready_to_pick,1297,Key Account Warehouse Ha Noi,21086000,Kho Giao Hàng Nặng - Đông Thọ - Thanh Hoá,Khu vực 3,Thanh Hóa,,,,103,62,57,0.4,,33.5,72.8,72.8
GYXHH8BB,4865319,Aqua B2C,2026-07-08 15:57:46.413000+00:00,,,,ready_to_pick,1297,Key Account Warehouse Ha Noi,21086000,Kho Giao Hàng Nặng - Đông Thọ - Thanh Hoá,Khu vực 3,Thanh Hóa,,,,103,62,57,0.4,,33.5,72.8,72.8
GYXHHXW8,4865319,Aqua B2C,2026-07-08 15:56:58.895000+00:00,,,,ready_to_pick,1297,Key Account Warehouse Ha Noi,21086000,Kho Giao Hàng Nặng - Đông Thọ - Thanh Hoá,Khu vực 3,Thanh Hóa,,,,103,62,57,0.4,,33.5,72.8,72.8
GYXHHHNF,4865319,Aqua B2C,2026-07-08 15:56:23.031000+00:00,,,,ready_to_pick,1297,Key Account Warehouse Ha Noi,21086000,Kho Giao Hàng Nặng - Đông Thọ - Thanh Hoá,Khu vực 3,Thanh Hóa,,,,103,62,57,0.4,,33.5,72.8,72.8
GYXHHDFD,4865319,Aqua B2C,2026-07-08 15:52:15.798000+00:00,,,,ready_to_pick,1297,Key Account Warehouse Ha Noi,21086000,Kho Giao Hàng Nặng - Đông Thọ - Thanh Hoá,Khu vực 3,Thanh Hóa,,,,103,62,57,0.4,,33.5,72.8,72.8
GYXHHDQG,4865319,Aqua B2C,2026-07-08 15:52:11.445000+00:00,,,,ready_to_pick,1297,Key Account Warehouse Ha Noi,21086000,Kho Giao Hàng Nặng - Đông Thọ - Thanh Hoá,Khu vực 3,Thanh Hóa,,,,103,62,57,0.4,,33.5,72.8,72.8
GYXHHC6P,4865319,Aqua B2C,2026-07-08 15:49:16.070000+00:00,,,,ready_to_pick,1297,Key Account Warehouse Ha Noi,21086000,Kho Giao Hàng Nặng - Đông Thọ - Thanh Hoá,Khu vực 3,Thanh Hóa,,,,103,62,57,0.4,,33.5,72.8,72.8
GYXHHL9T,4865319,Aqua B2C,2026-07-08 15:46:45.584000+00:00,,,,ready_to_pick,1297,Key Account Warehouse Ha Noi,21086000,Kho Giao Hàng Nặng - Đông Thọ - Thanh Hoá,Khu vực 3,Thanh Hóa,,,,103,62,57,0.4,,33.5,72.8,72.8
GYXHTXGH,4639882,ANTA,2026-07-08 15:43:18.368000+00:00,,,,ready_to_pick,22328000,Kho B2B - Đài Tư - Hà Nội,22957000,Kho Giao Hàng Nặng - Tân Thuận - Hồ Chí Minh,Hồ Chí Minh,Hồ Chí Minh,,,,10,10,90,0.0,,80.0,1.8,80.0
GYXHTKQG,4016133,Nuti,2026-07-08 15:41:13.601000+00:00,,,,ready_to_pick,1297,Key Account Warehouse Ha Noi,21151000,Kho Giao Hàng Nặng - Nho Quan - Ninh Bình,Khu vực 3,Ninh Bình,,,,54,41,205,0.5,,15.8,153.0,153.0
GYXHCQ8Q,4639882,ANTA,2026-07-08 12:00:19.331000+00:00,,,,ready_to_pick,22328000,Kho B2B - Đài Tư - Hà Nội,22328000,Kho B2B - Đài Tư - Hà Nội,Hà Nội,Hà Nội,,,,10,10,10,0.0,,2.0,0.2,2.0
GYXHFEGQ,4016133,Nuti,2026-07-08 10:31:13.023000+00:00,,,,ready_to_pick,1297,Key Account Warehouse Ha Noi,22328000,Kho B2B - Đài Tư - Hà Nội,Hà Nội,Hà Nội,,,,41,28,36,0.0,,2.6,8.6,8.6
GYXHF4LD,4016133,Nuti,2026-07-08 10:21:12.908000+00:00,,,,ready_to_pick,1297,Key Account Warehouse Ha Noi,21084000,Kho Giao Hàng Nặng - An Dương - Hải Phòng,Khu vực 3,Hải Phòng,,,,54,41,283,0.6,,8.1,147.0,147.0
GYXHFQ6C,4016133,Nuti,2026-07-08 10:06:12.994000+00:00,,,,ready_to_pick,1297,Key Account Warehouse Ha Noi,22296000,Kho Giao Hàng Nặng - Tiên Du - Bắc Ninh,Khu vực 3,Bắc Ninh,,,,23,21,30,0.0,,0.4,5.8,5.8
GYXHL86P,4647044,KEC,2026-07-08 10:01:42.839000+00:00,,,,ready_to_pick,1297,Key Account Warehouse Ha Noi,22957000,Kho Giao Hàng Nặng - Tân Thuận - Hồ Chí Minh,Hồ Chí Minh,Hồ Chí Minh,,,,10,10,10,0.0,,3.0,0.2,3.0
GYXHQDER,4016133,Nuti,2026-07-08 09:31:12.579000+00:00,,,,ready_to_pick,1297,Key Account Warehouse Ha Noi,22328000,Kho B2B - Đài Tư - Hà Nội,Hà Nội,Hà Nội,,,,54,41,87,0.2,,3.6,56.3,56.3
GYXHQQEN,4016133,Nuti,2026-07-08 09:21:12.601000+00:00,,,,ready_to_pick,1297,Key Account Warehouse Ha Noi,22328000,Kho B2B - Đài Tư - Hà Nội,Hà Nội,Hà Nội,,,,54,41,355,0.8,,13.8,238.0,238.0
GYXTRRL8,4016133,Nuti,2026-07-08 08:46:12.721000+00:00,,,,ready_to_pick,1297,Key Account Warehouse Ha Noi,22328000,Kho B2B - Đài Tư - Hà Nội,Hà Nội,Hà Nội,,,,39,38,66,0.1,,1.7,32.8,32.8
GYXTRKF7,4016133,Nuti,2026-07-08 08:41:12.850000+00:00,,,,ready_to_pick,1297,Key Account Warehouse Ha Noi,22328000,Kho B2B - Đài Tư - Hà Nội,Hà Nội,Hà Nội,,,,39,38,194,0.3,,4.4,76.3,76.3
GYXTPH7U,4016133,Nuti,2026-07-07 21:36:13.306000+00:00,,,,ready_to_pick,1297,Key Account Warehouse Ha Noi,22328000,Kho B2B - Đài Tư - Hà Nội,Hà Nội,Hà Nội,,,,42,28,54,0.1,,0.4,25.4,25.4
GYXTPH7F,4016133,Nuti,2026-07-07 21:36:12.705000+00:00,,,,ready_to_pick,1297,Key Account Warehouse Ha Noi,22328000,Kho B2B - Đài Tư - Hà Nội,Hà Nội,Hà Nội,,,,42,28,54,0.1,,0.4,25.4,25.4
GYXTNXER,4639882,ANTA,2026-07-07 19:39:19.933000+00:00,,,,ready_to_pick,22328000,Kho B2B - Đài Tư - Hà Nội,22957000,Kho Giao Hàng Nặng - Tân Thuận - Hồ Chí Minh,Hồ Chí Minh,Hồ Chí Minh,,,,10,10,390,0.0,,380.0,7.8,380.0
GYXTCGWB,4639882,ANTA,2026-07-07 17:20:17.025000+00:00,,,,ready_to_pick,22328000,Kho B2B - Đài Tư - Hà Nội,22995000,Kho Giao Hàng Nặng - Độc Lập - HCM,Hồ Chí Minh,Hồ Chí Minh,,,,10,10,10,0.0,,2.0,0.2,2.0
GYXT733C,4639882,ANTA,2026-07-07 16:20:17.400000+00:00,,,,ready_to_pick,22328000,Kho B2B - Đài Tư - Hà Nội,22423000,Kho Giao Hàng Nặng - Ân Thi - Hưng Yên,Khu vực 3,Hưng Yên,,,,10,10,10,0.0,,2.0,0.2,2.0
GYXTFMLD,4865319,Aqua B2C,2026-07-07 16:07:14.220000+00:00,,,,ready_to_pick,1297,Key Account Warehouse Ha Noi,21086000,Kho Giao Hàng Nặng - Đông Thọ - Thanh Hoá,Khu vực 3,Thanh Hóa,,,,103,62,57,0.4,,33.5,72.8,72.8
GYXTF438,4639882,ANTA,2026-07-07 16:00:17.342000+00:00,,,,ready_to_pick,22328000,Kho B2B - Đài Tư - Hà Nội,22328000,Kho B2B - Đài Tư - Hà Nội,Hà Nội,Hà Nội,,,,10,10,10,0.0,,2.0,0.2,2.0
GYXTQRAL,4639882,ANTA,2026-07-07 15:30:19.992000+00:00,,,,ready_to_pick,22328000,Kho B2B - Đài Tư - Hà Nội,22995000,Kho Giao Hàng Nặng - Độc Lập - HCM,Hồ Chí Minh,Hồ Chí Minh,,,,10,10,10,0.0,,2.0,0.2,2.0
GYXTQYCX,4647044,KEC,2026-07-07 15:29:19.307000+00:00,,,,ready_to_pick,1297,Key Account Warehouse Ha Noi,21606000,Kho Giao Hàng Nặng - Tân Tạo - HCM,Hồ Chí Minh,Hồ Chí Minh,,,,10,10,10,0.0,,0.1,0.2,0.2
GYXWEYKD,4865319,Aqua B2C,2026-07-07 15:10:35.531000+00:00,,,,ready_to_pick,1297,Key Account Warehouse Ha Noi,21362000,Kho Giao Hàng Nặng - TP Biên Hoà - Đồng Nai,Khu vực 1,Đồng Nai,,,,82,59,32,0.2,,24.0,31.0,31.0
GYXWEAYU,4865319,Aqua B2C,2026-07-07 15:09:28.536000+00:00,,,,ready_to_pick,1297,Key Account Warehouse Ha Noi,21086000,Kho Giao Hàng Nặng - Đông Thọ - Thanh Hoá,Khu vực 3,Thanh Hóa,,,,103,62,57,0.4,,33.5,72.8,72.8
GYXWEPA4,4647044,KEC,2026-07-07 15:04:02.825000+00:00,,,,ready_to_pick,1297,Key Account Warehouse Ha Noi,22865000,Kho Giao Hàng Nặng - Thuận An - Bình Dương,Khu vực 1,Bình Dương,,,,10,10,10,0.0,,3.0,0.2,3.0
GYXWEDNR,4865319,Aqua B2C,2026-07-07 15:03:14.583000+00:00,,,,ready_to_pick,1297,Key Account Warehouse Ha Noi,21086000,Kho Giao Hàng Nặng - Đông Thọ - Thanh Hoá,Khu vực 3,Thanh Hóa,,,,103,62,57,0.4,,33.5,72.8,72.8
GYXWEC9H,4639882,ANTA,2026-07-07 15:00:18.606000+00:00,,,,ready_to_pick,22328000,Kho B2B - Đài Tư - Hà Nội,22995000,Kho Giao Hàng Nặng - Độc Lập - HCM,Hồ Chí Minh,Hồ Chí Minh,,,,10,10,10,0.0,,2.0,0.2,2.0
GYXWMLKE,4639882,ANTA,2026-07-07 14:40:20.777000+00:00,,,,ready_to_pick,22328000,Kho B2B - Đài Tư - Hà Nội,22995000,Kho Giao Hàng Nặng - Độc Lập - HCM,Hồ Chí Minh,Hồ Chí Minh,,,,10,10,10,0.0,,2.0,0.2,2.0
GYXWMLKM,4639882,ANTA,2026-07-07 14:40:20.568000+00:00,,,,ready_to_pick,22328000,Kho B2B - Đài Tư - Hà Nội,22995000,Kho Giao Hàng Nặng - Độc Lập - HCM,Hồ Chí Minh,Hồ Chí Minh,,,,10,10,10,0.0,,2.0,0.2,2.0
GYXWMLKY,4639882,ANTA,2026-07-07 14:40:20.447000+00:00,,,,ready_to_pick,22328000,Kho B2B - Đài Tư - Hà Nội,22995000,Kho Giao Hàng Nặng - Độc Lập - HCM,Hồ Chí Minh,Hồ Chí Minh,,,,10,10,10,0.0,,2.0,0.2,2.0
GYXWMLKW,4639882,ANTA,2026-07-07 14:40:20.059000+00:00,,,,ready_to_pick,22328000,Kho B2B - Đài Tư - Hà Nội,22995000,Kho Giao Hàng Nặng - Độc Lập - HCM,Hồ Chí Minh,Hồ Chí Minh,,,,10,10,10,0.0,,2.0,0.2,2.0
GYXWMLK7,4639882,ANTA,2026-07-07 14:40:19.110000+00:00,,,,ready_to_pick,22328000,Kho B2B - Đài Tư - Hà Nội,22995000,Kho Giao Hàng Nặng - Độc Lập - HCM,Hồ Chí Minh,Hồ Chí Minh,,,,10,10,10,0.0,,2.0,0.2,2.0
GYXWR39A,4639882,ANTA,2026-07-07 14:31:41.158000+00:00,,,,ready_to_pick,22766000,(HNO) KD Tây Mỗ,22328000,Kho B2B - Đài Tư - Hà Nội,Hà Nội,Hà Nội,,,,10,10,110,0.0,,100.2,2.2,100.2
GYXW8BTA,4639882,ANTA,2026-07-07 14:03:40.393000+00:00,,,,picking,22766000,(HNO) KD Tây Mỗ,21452000,Kho Giao Hàng Nặng - Bắc Từ Liêm - Hà Nội,Hà Nội,Hà Nội,,,,10,10,10,0.0,,2.0,0.2,2.0
GYXWXRRB,4647044,KEC,2026-07-07 13:42:02.493000+00:00,,,,ready_to_pick,1297,Key Account Warehouse Ha Noi,22865000,Kho Giao Hàng Nặng - Thuận An - Bình Dương,Khu vực 1,Bình Dương,,,,10,10,10,0.0,,3.0,0.2,3.0
GYXW4E9T,5247377,Casper,2026-07-07 11:49:02.096000+00:00,2026-07-07 14:39:18.735000+00:00,,2026-07-09 10:34:56.105000+00:00,delivered,22328000,Kho B2B - Đài Tư - Hà Nội,22328000,Kho B2B - Đài Tư - Hà Nội,Hà Nội,Hà Nội,,,,84,60,45,0.2,,52.0,45.4,52.0
GYXWPYRD,4639882,ANTA,2026-07-07 10:40:18.119000+00:00,2026-07-09 19:47:38.369000+00:00,,,storing,22328000,Kho B2B - Đài Tư - Hà Nội,22328000,Kho B2B - Đài Tư - Hà Nội,Hà Nội,Hà Nội,,,,10,10,10,0.0,,2.0,0.2,2.0
GYXK66W7_CPTT,4016133,Nuti,2026-07-07 10:15:16.144000+00:00,2026-07-07 10:15:16.744000+00:00,2026-07-10 01:20:01.542000+00:00,,storing,22328000,Kho B2B - Đài Tư - Hà Nội,22370000,Bưu Cục 7A/3 Thành Thái-Phường Diên Hồng-HCM,Hồ Chí Minh,Hồ Chí Minh,,,,10,10,10,0.0,2026-07-10 01:23:41.163000+00:00,0.5,0.4,0.5
GYXWDGBX,5035963,MDLZ Miền Bắc,2026-07-07 10:09:48.931000+00:00,2026-07-08 16:20:40.803000+00:00,2026-07-09 00:44:56.778000+00:00,,transporting,22328000,Kho B2B - Đài Tư - Hà Nội,22296000,Kho Giao Hàng Nặng - Tiên Du - Bắc Ninh,Khu vực 3,Bắc Ninh,,,,10,10,10,0.0,2026-07-09 01:24:23.602000+00:00,2.0,0.2,2.0
GYXWDLXM,4702004,SF-WP,2026-07-07 10:07:39.739000+00:00,2026-07-08 00:01:12.021000+00:00,2026-07-08 00:27:40.143000+00:00,,storing,1297,Key Account Warehouse Ha Noi,21712000,Kho Giao Hàng Nặng - Tân Bình - HCM,Hồ Chí Minh,Hồ Chí Minh,,,,66,66,233,1.0,2026-07-09 15:04:59.876000+00:00,177.0,116.2,177.0
GYXWDLXR,4702004,SF-WP,2026-07-07 10:07:39.731000+00:00,2026-07-08 00:01:12.019000+00:00,,2026-07-08 16:24:55.221000+00:00,delivered,1297,Key Account Warehouse Ha Noi,22328000,Kho B2B - Đài Tư - Hà Nội,Hà Nội,Hà Nội,,,,60,40,623,1.5,2026-07-08 00:18:18.620000+00:00,508.0,269.0,508.0
GYXWNHNX,4016133,Nuti,2026-07-07 10:01:14.193000+00:00,,,,ready_to_pick,1297,Key Account Warehouse Ha Noi,21152000,Kho Giao Hàng Nặng - Việt Yên - Bắc Giang,Khu vực 3,Bắc Giang,,,,54,41,59,0.1,,1.6,24.6,24.6
GYXWNHN3,4016133,Nuti,2026-07-07 10:01:13.180000+00:00,,,,ready_to_pick,1297,Key Account Warehouse Ha Noi,21152000,Kho Giao Hàng Nặng - Việt Yên - Bắc Giang,Khu vực 3,Bắc Giang,,,,54,41,59,0.1,,1.6,24.6,24.6
GYXWNBVD,4016133,Nuti,2026-07-07 09:56:13.405000+00:00,,,,ready_to_pick,1297,Key Account Warehouse Ha Noi,22328000,Kho B2B - Đài Tư - Hà Nội,Hà Nội,Hà Nội,,,,54,41,169,0.4,,4.8,74.0,74.0
GYXWNBVC,4016133,Nuti,2026-07-07 09:56:12.892000+00:00,,,,ready_to_pick,1297,Key Account Warehouse Ha Noi,22328000,Kho B2B - Đài Tư - Hà Nội,Hà Nội,Hà Nội,,,,54,41,169,0.4,,4.8,74.0,74.0
GYXWNDVC,4647044,KEC,2026-07-07 09:54:21.082000+00:00,,,,ready_to_pick,1297,Key Account Warehouse Ha Noi,22995000,Kho Giao Hàng Nặng - Độc Lập - HCM,Hồ Chí Minh,Hồ Chí Minh,,,,10,10,10,0.0,,7.0,0.2,7.0
GYXWN9KL,5103605,CellphoneS North (HTV),2026-07-07 09:51:49.693000+00:00,2026-07-07 18:08:30.689000+00:00,2026-07-07 23:30:56.758000+00:00,2026-07-08 21:20:18.155000+00:00,delivered,22328000,Kho B2B - Đài Tư - Hà Nội,21153000,Kho Giao Hàng Nặng - TP Hạ Long - Quảng Ninh,Khu vực 3,Quảng Ninh,,,,195,85,65,1.1,2026-07-08 03:57:43.590000+00:00,50.0,215.5,215.5
GYXW6PPV,4016133,Nuti,2026-07-07 09:36:13.316000+00:00,,,,ready_to_pick,1297,Key Account Warehouse Ha Noi,22328000,Kho B2B - Đài Tư - Hà Nội,Hà Nội,Hà Nội,,,,39,38,126,0.2,,2.1,46.7,46.7
GYXW6PPG,4016133,Nuti,2026-07-07 09:36:12.722000+00:00,,,,ready_to_pick,1297,Key Account Warehouse Ha Noi,22328000,Kho B2B - Đài Tư - Hà Nội,Hà Nội,Hà Nội,,,,39,38,126,0.2,,2.1,46.7,46.7
GYXW9XVD,4639882,ANTA,2026-07-07 09:10:16.492000+00:00,2026-07-07 21:03:37.757000+00:00,2026-07-08 00:27:40.126000+00:00,,transporting,22328000,Kho B2B - Đài Tư - Hà Nội,22995000,Kho Giao Hàng Nặng - Độc Lập - HCM,Hồ Chí Minh,Hồ Chí Minh,,,,10,10,10,0.0,2026-07-10 02:02:53.056000+00:00,2.0,0.2,2.0
GYXW9FDR,4016133,Nuti,2026-07-07 09:01:13.017000+00:00,,,,ready_to_pick,1297,Key Account Warehouse Ha Noi,22328000,Kho B2B - Đài Tư - Hà Nội,Hà Nội,Hà Nội,,,,54,41,252,0.6,,6.6,102.2,102.2
GYXWCBQB,4016133,Nuti,2026-07-07 08:51:13.323000+00:00,,,,ready_to_pick,1297,Key Account Warehouse Ha Noi,21160000,Kho Giao Hàng Nặng - Việt Trì - Phú Thọ,Khu vực 3,Phú Thọ,,,,41,28,86,0.1,,3.2,18.2,18.2
GYXWCBQ7,4016133,Nuti,2026-07-07 08:51:12.745000+00:00,,,,ready_to_pick,1297,Key Account Warehouse Ha Noi,21160000,Kho Giao Hàng Nặng - Việt Trì - Phú Thọ,Khu vực 3,Phú Thọ,,,,41,28,86,0.1,,3.2,18.2,18.2
GYXW7UHL,4016133,Nuti,2026-07-07 08:11:17.032000+00:00,,,,ready_to_pick,1297,Key Account Warehouse Ha Noi,21337000,Kho Giao Hàng Nặng - Tân Bình - Hải Dương,Khu vực 3,Hải Dương,,,,54,41,127,0.3,,4.0,72.4,72.4
GYXW7UT8,4016133,Nuti,2026-07-07 08:11:16.476000+00:00,,,,ready_to_pick,1297,Key Account Warehouse Ha Noi,21337000,Kho Giao Hàng Nặng - Tân Bình - Hải Dương,Khu vực 3,Hải Dương,,,,54,41,127,0.3,,4.0,72.4,72.4
GYXW7UWA,4016133,Nuti,2026-07-07 08:11:14.249000+00:00,,,,ready_to_pick,1297,Key Account Warehouse Ha Noi,21337000,Kho Giao Hàng Nặng - Tân Bình - Hải Dương,Khu vực 3,Hải Dương,,,,54,41,127,0.3,,4.0,72.4,72.4
GYXW7UW7,4016133,Nuti,2026-07-07 08:11:13.749000+00:00,,,,ready_to_pick,1297,Key Account Warehouse Ha Noi,21337000,Kho Giao Hàng Nặng - Tân Bình - Hải Dương,Khu vực 3,Hải Dương,,,,54,41,127,0.3,,4.0,72.4,72.4
GYXW7U4Y,4016133,Nuti,2026-07-07 08:11:12.999000+00:00,,,,ready_to_pick,1297,Key Account Warehouse Ha Noi,21337000,Kho Giao Hàng Nặng - Tân Bình - Hải Dương,Khu vực 3,Hải Dương,,,,54,41,127,0.3,,4.0,72.4,72.4
GYXKHARW,4016133,Nuti,2026-07-06 22:51:14.788000+00:00,,,,ready_to_pick,1297,Key Account Warehouse Ha Noi,21095000,Kho Giao Hàng Nặng - Vinh - Nghệ An,Khu vực 3,Nghệ An,,,,54,41,394,0.9,,12.0,215.4,215.4
